class,text
Positive,"I'm normally a size small, but the store only had a large. i tried it on and it still fits great as an oversized button down for a threw-on-my-boyfriends-shirt kind of look. i wear it tied in a knot with leggings.

the shirt is so so so soft and high in quality."
Positive,Really love this top even more than i expected based on the picture. i have already worn it 6 times in a short period of time. it's been a great fall top
Positive,"I actually found this blouse to be quite nice. i'm not sure that i'd wear it as a tunic, though. it looks great tucked in and the print is fun but nothing exhilarating. for the price, i expected more."
Positive,"I disagree with a previous review saying that this top is unflattering and boxy. i bought this top and it actually looks just like the image in the photo online. i received a lot of compliments when i wore it. i wore it with black skinny jeans, black tall boots and a short sleeve cardigan which i used as a jacket, and did not keep on the entire night. i think the shirt even looks good without being tucked in. :) i really love it. maybe just wish i could button the top from time to time to change"
Positive,"This shirt can look very elegant thanks to the nice duffs and hidden button line. the material is pleasantly substancial and very soft. the only thing i did not like is that the bottom button broke it two pieces the tirst tme i buttoned it. no spare buttons included, but as the buttons are not visible i think i can find a similar one to replace it. not big enough of an issue to return,"
Positive,Absolutely perfect staple top to have in your wardrobe. fits very nicely. not see through at all. highly recommend this top.
Negative,"I'm 5'3"" and 120 lbs. i ordered a m and it was far too boxy and long in the arms as well as the back. the collar is small and lays flat. the material is good quality and soft but heavier than i had hoped."
Positive,"This top is a great neutral layering piece with some nice visual interest. the black-and-white pattern and tie-neck style will add a little something to a cardigan or blazer. the neck can also be tied multiple ways. it's definitely appropriate for work and i found it tts. i normally wear a 10/m, and took an m in this top."
Positive,"I just got this top in the mail and love love love it! i thought it was on the pricey side for a shirt, but couldn't help but purchase it full price because i love anything pineapple print! the metallic print is cute and chic from day to night. i also love the open shoulders, making this design different and perfect for summer. i'm only sorry that i didn't see this top online until i already returned from my vacation in maui! very comfortable and easy, worth the price!"
Positive,"Wish i had snagged both styles of this shirt before they sold out. this is a very cute, work appropriate top - good weight and quality to the shirt. i wear a lot of black and white at work (so sick of gray..why are all business clothes gray?) and this top will be added into my regular rotation."
Positive,"Love this top-i love the colors, flow and that you can wear with a regular bra and straps are covered. i was torn between the xs and s but went with the s due to length. have already worn several times with a casual white jean summer skirt and crops. love love love."
Positive,"This top is gorgeous and better than the web photo. i love that it goes with the off-the-shoulder trend while allowing for a normal bra - in fact, it even has the little snaps at the shoulders to hold your straps in place (awesome detail). the ruffled portion looks good over or under your arms, length hit at about my hip (5'7"" with long torso; 125lbs, 32b) and, and it has an overall flowy but not sacklike fit. i found this to fit tts (bought my usual s). beautiful vivid print looks great with wh"
Positive,"Pretty top. quality material, it is not thin and see  through. size down because this runs large. although it is meant to be flowy, if you don't size down, the arm holes will show your bra and the rest of the body will have too much fabric looking too boxy and unflattering."
Negative,"This top was really cute on someone else, but not on me... on me, ti was too big and the color washed me out. the fabric is nice and the pattern and colors are nice too, just not on porcelain skin... like many tops this season, it is a bit boxy, but looks nice with jeans, white shorts or half-tucked into a skirt. i would probably size down a bot..."
Positive,"I love this shirt for a throw on and go.  hangs nicely and fits great.  colors are more vibrant in person.  i love mauve, i think they do a great job with their designs!"
Positive,"Loved this blouse the moment i tried it on! it is one of ""those"" items for me. it does run large so size down. if you are concerned about the arms don't be. i usually go between a medium and large and the medium was perfectly roomy without being to large."
Negative,"The top is made well and has a strap holder to keep your bra hidden which is always a nice feature. however the amount of fabric made it unflattering on me. the overall design is fun and i probably would have purchased if it had been more fitted and flattering. i have a medium on in the photo, my measurements are 38-30-40."
Positive,Absolutely love this top. followed reviewer advice to size down and got the medium. good choice and probably could have gotten a small. love the fabric and pattern. it's so light and pretty. love the marriage of bare shoulders with sleeves.
Positive,"I have worn this with skinny jeans and espadrilles untucked and with black linen shorts. i also wore tucked in with high waisted slim fit black pants,

i got compliments on all the looks. i think it's a fun and cheerful, feminine summer top.

i got mine on sale so i thought was a fair price for what it is. wouldn't have paid full retail.

requires ironing.

i am a size 4 and 5'3 and have a small."
Negative,"Beautiful,well made top.it just runs small not for me"
Negative,"The pattern is very adorable. unfortunately the design is flawed. sizing is great at the waist and hip, and the length is spot on, but the top is wide. it's strange because i don't think it would fit someone that was bustier than me either.
will return. i'm considering buying again on sale and having a tailor correct it."
Negative,"...maybe i would've kept this top. i love the print, colors, and design. however, i feel like i had too much of a bosom to wear it. since my bust and torso seemed too large for it, the peplum ruffle bottom lining and top straps did not look good."
Positive,A gorgeous and vibrant print! love the ruffles on the bottom and the detailing of the straps in the back. perfect for a beach day!
Negative,"Great idea, but this was not a flattering top on me. it almost worked, but ended up making me look like i am pregnant?not a look i am striving to achieve?it has potential and maybe others with a different body type may have success. ( i am curvy on bottom and have a long torso) for the price, it did not justify a place in my closet?"
Negative,"I loved fabric, print and back detail. design, however, was a little too boxy to be flattering on me. even at great price i sent it back."
Positive,Runs big so size down. i love this top for many reasons but armholes are big so went to xs and i am usually a small or medium. xs was perfect and still long enough for me. gorgeous fabric and color and flow. got tons of compliments! very feminine and comfy. looks great with jeans and white crops.
Positive,"This top was different than what i normally wear but based on good reviews i purchased. i really love it. it is different than i thought it would be. i thought it was longer sleeves but it is just above the elbow. definitely need a tank or something underneath as it is see through and the sleeve holes are quite large. 
definitely recommend."
Negative,"......not for the long waisted. i immediately ordered this top when i saw it online. the embroidery is beuatiful (although it will require extra care). the soft lavendar color was a breathe of fresh air. however, i felt like i was wearing a maternity top as it hung oddly on my slim, 5'9"" frame. i am long waisted so perhaps petites will find this top works for them. i agree with the other reviewer that indicated the arm openings are a bit large and deep. sadly, this one went back...."
Positive,"Tried in store today and found to fit tts. images are accurate in terms of color and showing that there is a tiny bit of sheerness to this (as you can see near the bottom in each photo). i really loved everything about it except that it flared out a bit on the bottom in a way that i'd probably fuss with too much. id probably buy it on sale, but not before that."
Positive,"This top is gorgeous in person! i got the small because at 5'5"", 127 pounds and a 30f chest, you never know how a top will fit. however, this one is big. i definitely needed the xs which is now sold out. i'll be taking in the sides because the arm holes show too much bra and there's a ton of extra fabric that makes it way too blouse. love this shirt though and am not willing to part with it!"
Positive,
Positive,"I am an retailer employee and this top just screamed my name when it arrived in our store. i love the colors and the feminine flair of this top. i am short and this top is a little longer on me than pictured on the model. i like the fact that it is a bit longer, it helps cover up some of my extra assets. the top is to big at the arm holes which is the story i have heard from my customers who did not purchase the top even though they loved it. i should have purchased the xxs online, it would"
Negative,"The detail on this top is beautiful, love the embroidery ! i wanted it to work so bad, but it is much too wide, bells out and makes my size 8/10 body look wider than it is, another reviewer mentioned the model must have it pinned on the sides, because the top does not lay like that. it runs large, especially under the arms. too bad......"
Positive,"I tried on a small, but usually am xs:

this shirt dind't seem like it had too much fabric or too bulky to me as it did to others adn i tried on a larger size. teh material is soft and feminine, and love the embroidered detail. one thing to note is i found that even with the layer of fabric, it was still a bit sheer and i could see through in some of the dressing room lighting. didn't purchase only based on the skin tone v's shirt color. color of shirt is gorgeous, but i am pale and it wasn't"
Negative,"The color and detailing on this shirt are pretty, but it is incredibly wide at the hips. as someone with a large chest, it was very unflattering."
Negative,"I wanted to love this top. i really did. the color is beautiful, the embroidery is well done, the fabric is soft, and it feels like it would be very comfortable in the summer heat. but the armholes are big and so the holes show my bra which is not good. i guess i could wear a bandeau or tank underneath, but the armholes just kind of ruined my love for this top. i think i will try again and order next size down."
Positive,"I tried this on in the ivory color because it was on sale and i thought it ""might"" be sort of cute. a comfy, flowy, warmer to cooler weather transition top. little did i know how much i would fall in love with it! i tried it on over like 3 things in the fitting room, including a black strapless maxi dress i wore into the store, and it still looked great! it is comfortable, loose, and goes with pretty much anything (i've tried and still haven't found anything it looks bad over). it's not super dr"
Negative,"Ordered navy in a medium and it is wide. sometimes that's a good thing, but not this time. am short waisted and hoped this would be more fitted at the waist on me but it isn't. it just looked frumpy with lots of see through parts. obviously it needs a cami but wasn't attractive on me at all. seemed well made and probably better on someone taller."
Negative,"Wish someone warned of the navy one being not as pictured!! i ordered the navy because the crocheted part appeared to be more intricate than the ivory. in reality the navy knit is just like the ivory. it seems well made but very delicate. i'm not a fan of tops (especially pricey ones) that require a camisole but this top is a very ""retailer"" piece so most likely i will keep it, just a bit disappointed."
Positive,I ordered this on a whim and am so glad that i did. it's a great color shirt and the embroidery is perfect. i like the length of the shirt.
Positive,I love floreat and was excited to find this top on sale. i received multiple compliments the first day i wore it. it is true that it might be better with a bit less fabric but it wasn't a deal breaker for me. the flowy shape it ideal for summer.
Negative,"Pretty color, great details, awesome stitching.. aaaaannnnnnd it actually not only goes out a line but ballooned out above the hem and then came back in - just too much fabric down below. nice at neck, arms and chest but disastrous anywhere below that."
Positive,
Negative,This top is beautiful but beware there is a lot of extra material on the sides. it was not flattering on only because of all the excess fabric. clearly the model in the picture has it pinned behind her. it would be a keeper if it was cut closer to the body but sadly it's going back.
Positive,"The top is gorge, it may look somewhat slouchy but it falls perfect and looks great, especially the navy color with white jeans. i liked it so much i ordered the ivory color too. beware the quality of this top is extremely delicate and if you don't want it to snag, do not wear a bracelet that can snag it."
Positive,"For myself it brings out the playful side of me. it is flows and just looks lovely. i wore it with a white denim skirt, and booties. i know white, and it looked great. the fabric is beautiful, and in the sun it is breathtaking"
Positive,I bought this top in pink today and it is a beautiful bright pink spring color. i did have to size down from my normal size six all the way down to a 2 due to armholes being being too big. i tend to have a chronic problems with armholes being big so not sure others may find the same problem however i typically size down to a 4 when armholes too big. plenty of room in body still but i lost some length. i do have a short torso so can get a way with this. aside from my armhole problem it is a gorge
Positive,"I purchased the mustard colored item and it is very good for spring. nice fit, nice quality"
Positive,"This is a very flattering and comfortable top that can easily transition into fall. i can't wait to wear it (i have the black and white one) under my new leather jacket! the store was out of my size, so i had to order the top, which came with a small snag. i trimmed the thread and wore it anyway! it is also long enough to wear with leggings."
Positive,"Top is blouse and long enough to stay tucked in if you want.  like the laser cut detail front and back.  sleeveless is great for summer months here.  can wear to work or dress down with jeans.  fit is true to size.  i am 5'5"", slim and small busted so anything fits me.  i would think it you're busty it would be fine as it's a blousy fit.
the color is more of a salmon pink which works for me.  however if your looking for a true pink it may not work."
Positive,"I ordered this in an 8p yellow. the yellow is more of a rich golden yellow than the easter yellow i see on my monitor that i was hoping it'd be, but i'm keeping it because it fits me perfectly. i am chesty for my size (32ddd), and somehow i don't look bigger than i am in this top. i also have broad shoulders and this doesn't feel tight when i move my arms. bonus that it has loops to keep your bra straps in place! i have to dock a star though because there are quite a few fabric threads to trim f"
Positive,"This is a great top and worth the money. nice flow to it, soft material and light weight for hot summer days. many light weight tops are sheer and require a cami - this one does not which is key for those of us that live in hot climates. don't miss out!"
Negative,"I ordered the coral/peach version in size 16. it ran small, especially compared to other size 14 or 16 maeve blouses i've purchased. very tight throughout the blouse. the product photos looked so nice compared to what arrived. the material was extremely cheap in quality. it wrinkled terribly. the bow pulled the material down which obscured the look of the eyelet. the idea of this was perfect for my style. unfortunately, the poor choice in material & poor fit made this a return for me."
Positive,"This top is amazing!! i thought it looked really cute in the photos but it's even cuter online. the material is great and you can't go wrong with the fit. i love tops that are loose and flowy, so when i'm feeling a bit bloated i can still look cute in tops. this one is definitely a must!"
Positive,"The only negative thing i have to say is that the color in person is different than the picture- it is much more of a coral pink than a rosy pink, which is fine just a tad unexpected! i ordered a size 8 and it fits perfectly (32ddd chest). the laser cut outs in the yoke add a very nice feminine, unique touch to an otherwise basic top. i can't wait to wear it!"
Positive,"I usually try to avoid paying full price for items but saw this in the store and couldn't pass it up! tried it on in my usual size, 2p, and had to have it. i bought the white/black one, and it looks great with black capris. fabric is lightweight and airy; perfect for hot summer days."
Positive,"If you're looking for pretty and flowy, this is it! i frequently wear xs in retailer sizing, but in this top i went with a s. 5'4"", 123lbs, 34a. love the top but debating on keeping it because i'm not sure the yellow color looks great on my slightly olive skin....great with legging capris for summer"
Positive,"This is a great top! i love the color of the pink... it is the perfect color of pink; not too bright or too light, but a pretty pink-coral spring color! i am fair skinned and this color looks great on.
i got the 0 regular and it fits perfect. i am 5'2"" and 110lbs. i usually get petite but i can't imagine this shirt being shorter... it's a great length. i can wear it slightly tucked in or out without it looking sloppy. it also hides any belly issues for those mamas out there. love it! perfect fo"
Positive,"I bought this at my local retailer store. i bought the last one and when i walked out of the dressing room a lady asked if i was buying it..uh yeah! this is so cute with jeans or pants and booties. i bought the yellow. its lightweight and perfect for work or weekend. ive received many compliments. the arm holes were small for me, i bought a size 6, normally i'm a small or xs in most tops. i am 5-2, 130 lbs, petite and fit, the 6 regular was perfect for me, i was ok with it a little longer."
Positive,"Nice to have colors rather than a solid top. i actually bought the pink also because i like the fit so much. i'm 5'8"", 140 and wear a size 6, tts. i like the cut and it's long enough, which can sometimes be a problem for me."
Positive,"I was looking for a navy top to replace an overused navy silk cowlneck that i have been wearing for years. this is perfect. light, versatile and classic."
Positive,"Super cute with skinny jeans. true to size. i'm size 4, 138 pounds and 34c got a small"
Positive,"Love this top! such a fun pattern and style. soft too! easily paired with a sweater or light weight denim/cargo jackets for fall. i generally wear an xs in retailer tops and purchased this in a 2 which is a perfect fit. it could be a tad more roomy in the chest, however the 4 would be too big overall."
Positive,This was the best purchase of the summer. it's cute and comfortable without being too baggy/loose. i get compliments every time i wear it. fits true to size. i bought the floral (orange) one. couldn't be happier!
Positive,"I didn't love it enough to buy it, but did think it was cute. i am wearing a medium in the photos and for reference my measurements are 38-30-40."
Positive,"Great fit! for reference, i am 5'7"", 160 lbs and bought a size medium. there is a piece of fabric that acts as a cami underneath to prevent any unwanted reveal with the lace up. soft fabric and falls beautifully!"
Negative,"I adore this blouse, but the cut is a bit weird. the shoulders fit snugly and the body is blousy/boxy. the colors are super cute and the cutouts are unique but i don't think this top is for everyone."
Positive,"I ordered a size 4, my usual size in tops is s or xs for looser fitted tops, i prefer a more fitted look. for reference i am 5'4"" 120 lbs,, 32d. i ordered in pink and the color matches the online image. the pink is shear and i do have to wear a camisole underneath, which does not bother me at all. the top is adorable with jeans or slacks for work."
Positive,"I really liked this top when i saw it in yellow but i was on the fence about ordering it for a while. when i did order it i chose the pink at the last second. i love it. i've worn it several times with a pair of jeans and cardigan. it travels nicely in the suitcase, no need to pull the iron out. i wear a cami underneath but it's really not that sheer so you don't need to. it's a lovely piece"
Positive,"I thought this shirt was really feminine and elegant. only downsides is some of the punched out holes had fabric still attached which you have cut off with scissors- otherwise the shirt will snag. and the second issue of bigger importance are the low armholes. lots of bra showing- not really sure how to get around that so i always wear it with a cardigan. but it would be nice not to have to. 
other than that it looks nice and pairs nicely with almost anything."
Positive,Purchased this top at my local store. usually don't pay full price for clothing but had to have this top. so cute and lightweight. love that you do not need to wear a cami underneath and has material that covers your bra. usually wear a petite size due to tops being cut so low but a regular medium was perfect. suggest purchasing this top full price or if still around when it goes on sale definitely purchase. i bought the floral design.
Positive,I ordered my usual size 6 in tops at retailer in both the orange/blue print & the pink color. fit is tts & looks pretty much on me as in the pic. lightweight & cool for these hot days. the 'pink' really is not pink - it's a true orange so i returned this one. i didn't really need an orange top. if it had been as in the pic which is a pink/coral-like color i wld have kept it. the orange/blue print is really appealing so that is a keeper. this top is a little flowy but not tent-like which is perfect
Positive,"Just note the pink is different than in the photos. much hotter/more saturated. apart from that surprise, overall i'd recommend. nice design."
Positive,"I ordered this lovely blouse the moment i saw it, and i am very pleased that it is the quality and fit i'd hoped for. i bought the medium in pink. i am 130#, 34f, size 8 or medium on most tops. the medium fits me perfectly; i love the gathering at top back so that there is no pulling at all across the back or bust. i am mystified that all blouses aren't designed with a nice level of gathering to accommodate a bust and to give a flattering flow.. i am busty so awkward tightness can be a problem o"
Negative,"This shirt is purportedly made of silk, but it is extremely low quality. the material is coarse and scratchy. it's not even worth it at the extra 40% off sale price. returned."
Negative,"The sleeves were very tight in the upper arm area but the body was blousy, too blousy so to go up a size for the arms would mean it would be very oversized in the body. i like the fabric (nice and thick) but it did not work for me."
Positive,Super soft flannel material. the colors are beautiful and perfect for fall! it's doesn't ride up the shoulders but stays in place off-the-shoulder style. i love it!
Positive,"Love this top.  i get compliments every time i wear it.  got the medium. fits perfect. 5'4"", 138#.  even at my age it looks great."
Negative,"This shirt was tent like on me and there was really no way around it. i am fairly small- usually a 4 or 6 in tops, and smaller on top- barely 34b. this top was incredibly unflattering, falling to cut right at my hips and sitting open and way too flowy-- like a pillowcase/sacklike fit. there was just too much fabric here to make it work for me. it's unfortunate because it looks adorable in the product photo and i love the plaid mix with the open shoulders- a nice transition to fall. unfortunately"
Positive,"I am in love with this top. flannel shirts are a fall staple, but i don't own any. any flannel shirt that i have come across has been a button down, which simply does not work for me, given my chest size. i hate button downs that gap or that i have to leave unbuttoned and wear a tank underneath. it's not flattering. this top is flannel, no buttons, and off the shoulder, which is such a unique and fresh style. the off the shoulder feature stays in place thanks to tiny straps sewn in that you put"
Positive,"What a great, soft piece for fall.  the top is flattering and comfy at the same time. it looks really romantic with the bare shoulder look."
Positive,Great shirt. very soft and comfortable. the elastic on top to keep it off shoulders is not too tight--just tight enough. the colors are pretty. it's give a rustic city vibe. love!
Positive,"Love! received so many compliments! it can be dressed up or down and is so comfortable.  i did order a l  based on the reviews, but found it to be big.  i would've returned for a m, but it was sold out and i didn't want to risk not having it at all so i kept."
Positive,
Positive,"The burgundy plaid colors are what caught my eye! so perfect for the fall season. i usually do not like off the shoulder tops as most do not stay down but this one does and as others have stated there are arm stays inside to help with that. i stayed with my usual small to keep the length and it was fine. got compliments the first time i wore it. so glad they restocked in my size, as they had been sold out."
Positive,"I wear ddd so i do wear a strapless with this and it looks great. the plan looks fantastic with any color wash of jeans. i
love it"
Positive,"Love this top. i'm athletic, it's a little tight around the arms. but it's a really nice looking blouse off and on!"
Positive,Off the shoulder is everywhere and this is a great shirt for the fall.
Negative,I normally get a small in this style shirt but it didn't fit at all so i had to send it back. too bad
Positive,The shoulder bearing aspect makes this top sexy yet it doesn't look like you're trying too hard. sleeves can be worn up or down and everything stayed in place either way. i get tons of compliments each time i wear this.
Positive,"This top is really pretty. the fabric is soft and flowy (not too boxy) and the elastic at the top is comfortable. it does not ride up or fall off the shoulders, which i've found with tops of similar design. in my regular size s (5'6 - 125lb), i didn't find the sleeves tight like others have mentioned. one thing i did notice was that the hidden straps that many other tops and dresses have (the ones for hanging on a hanger) are sewn right on the edge of the upper elastic making them pop up a bit."
Negative,I returned this item. it was soft. very blah fabric. nothing special.
Positive,"I have been on the fence about this blouse until i went into the store and tried it on. instant love for me.
the fabric is not sheer.....yeah! the shoulders are cut in, so you may need a halter bra. i typically go between a 4 or 6, but found the cut at a a line so there is a nice flow, but not overly so, so purchased the 4. the colors will go with anything, for many seasons. love the quality."
Positive,"I had the pleasure of trying this on today and looooooove it. i love all things bows, but usually they are off-centered over the left shoulder. i have a bit of an ocd thing, and i prefer things to be over my right shoulder so usually while i love them, i can't wear them. i love that this bow is in the middle-and i like that it is higher than the neckline of the shirt so you know there is some skin underneath. it adds to the sexiness of the blouse while also creating a more pleasing look. i feel"
Positive,"I bought this top as it is perfect for work under a blazer! the patten is pretty and eye catching, i love that it's 100% silk and has the tie in front so it's not too low for work. so chic and sophisticated!"
Positive,"This top isn't straight as it would seem on the ""tucked-in"" picture on the model. colros are really rpetty and neutral in eprson. fabric si very soft. i tried on the 0 but am wondering about trying on 00 or petite size...which i would have to order, so will wait a bit on this one."
Positive,"I coveted this blouse for weeks and finally pressed go during the recent sale. it is truly lovely - the textured silk and its lining combine to give this blouse the weight it needs to flow perfectly when untucked. it is a-shaped and fuller at the hem. when tucked, it is neat as a pin. the colors are almost metallic and it looks as if the flowers have been painted on. this is an elegant casual look with white jeans and heels, or i've dressed it up with a black pencil as well as a skirt almost ide"
Positive,"I tried this on a whim last week even though it was a bit above my budget, and i couldn't resist taking it home. the photo doesn't do the textured sheen of the silk justice--the metallic tones of the flowers are really vibrant, but still subtle. my husband (who usually hates anything with a bow) loves this, though i have been tying the bow a bit lower than shown on the model. go one size down--i usually wear a 14 in blouses but took a 12 in this."
Positive,The picture doesn't do this justice. this top is amazing in person. i purchased my regular size 2. it is very versatile and the colors are perfect as well as cut and material. worth the money
Positive,"This is a gorgeous blouse!  the quality is exceptional- beautiful, soft silk. the pattern is lovely, the shape and design is spot on!!  finally!  a lovely tie neck blouse that fits well and is made well. i'm a busty mama and my the size 2 fits perfectly. thank you retailerpolgie for a gorgeous piece of clothing!"
Positive,This top is so cute.  i love it and get tons of compliments on it.
Positive,This shirt is so cute with skinny jeans and crossbody bag! i am 34b so i did not have the issue with the cut of top at the bustline. love it!
Positive,"I love this blouse, but after i got it i decided i really didn't need another white long blouse. it was more of a want than a need. very stylish and comfy with nice neckline. i love retailer anything. i'm obsessed with this store and every single thing in it. even the smell just makes me happy when i enter the doors."
Positive,"I love this top. the seam does go across the bustling but if you are small chested like me...it is perfect. very bohemian and an almost classic look with a very contemporary twist. there are splits up the side that show off a great pair of leggings. i wore this today with some lysee black and grey patterned leggings, a long grey camisole, and some cute short free people booties...i may have gotten 20 compliments. love it."
Negative,"I really like this shirt but it's a bit maternity. i don't mind some extra fabric around the stomach area but there is a lot here. i'm 5' 7"" about 125 and i think it makes me look like i might be hiding a little secret. since i'm done having kids, it has to go back. 
it's also somewhat see through and had i kept it, i would have worn a tank top underneath.
as long as these things don't bother you, it really is cute!"
Positive,Love this big top...! will be great for hot summer days.
Negative,Ii loved the idea of this summer top flowing in the breeze... then i got it and the selves did nit give as much slack as i would have hoped #spandex so #returned!
Negative,Love the movement of the blouse and how it falls. great quality material.
Positive,"This is a great light, free flowing top for the summer. i agree with the other reviewers that the top section hits in a weird area, but if you are small busted, you won't be affected. it can be dressed up or down with jewelry and offers a whimsical option to a plain white blouse for the summer!"
Positive,"Bought this shirt on a whim, and it surpassed my expectations. just enough business, just enough pleasure. i wore it with high waisted skinnies and wedges and stopped counting the compliments! excited to try it in other ways. it's summery in print, but fall ish in color, so i think i can get even more use out of it in the next few months."
Positive,"This blouse is a beauty! i love the hemline across the bust and all the flowy fabric that drapes in front and in back. i love the long length and the side slits. the wide hemline at the bottom is lovely. the cotton is soft and light and as amazing to wear as it is to look at. it makes me feel beautiful just having it on. be aware the fabric is sheer and requires a tank, but i don't mind as it is both pretty and comfortable. i sized up, which fits how i like. i never tried it on in my normal size"
Positive,"I had been eyeing this top online, decided to hit my local retailer to try it on! it is an adorable spring tunic!
i think it runs a size larger then your usual size. for reference, i am 5'7"" and 139 pds, small busted, and i bought a size 6, fits perfect. i will machine wash and hang to dry. happy with my purchase!"
Positive,"Not sure why some people did not like the fit. i am a ""d"" and yes the seam sits along bust, but not in a weird way. love this shirt, its adorable."
Positive,"My favorite white blouse ever.
i was hesitant, but really love it. it makes me think of summer, flowers, paris.... it's so soft and comfortable. yes, the cut is different and took a moment to get used to... but i like that. and it looks better on. imo. i can see this getting worn a lot on hot summer southern days. i've been on a hunt for a great white blouse for a long time. tres chic!"
Positive,"Saw this in the store and had to have it after i tried it on. it's shape is unique, it's very ""floaty"" and looks awesome with skinny cropped jeans & chunky sandals. 
the ""empire"" does hit across the breast line, not below. i thought it added to the different shape, & didn't look odd on me. i am 5'6"" so it might overwhelm a petite frame."
Positive,Love this top! tried it on in the store & loved it more. it's a great transitional piece with rich colors. the top is sheer so will need to layer with a camisole. haven't worn yet so can't speak to how well it will wash.
Positive,"Probably not for everyone but boy do i love it and i've gotten loads of compliments on it! looks best with skinny jeans, would be good with leggings also.

i am 5'7"", 155# and bought a size 10, fits perfectly!"
Negative,"I wanted to love this top. perfect weight, length, and shape. unfortunately, the seam goes right through the bust and just does not look right. if you are tiny on top, this will be lovely on you."
Positive,"This may be one of the cutest items that i have every owned! runs big, i am a 4 and the 0 fits perfectly."
Positive,"I had 3 shirts from clearance in my hand but put them back to get this shirt. it's perfect! great with skinnies/sandals for the spring, or boots/leggings for the fall. great for layering and so versatile...i will get more wear out of this than my 3 clearance shirts combined. i like the slit in the side, it makes flowy while also preventing it from looking like a maternity shirt. the only thing i would like is if the shirt was a little less see-through. it's not bad, but i will definitely have to"
Positive,"Fit is boxy yet flattering and material is sheer but not overly delicate. took my usual size four, i am moderately short waisted."
Positive,"I saw this blouse referenced online a few times and have a weakness for white blouses, so off i went to my local retailer. this blouse turned out to be delightful! my thoughts: i would say it fits true to size, as a 0 fits me perfectly in the shoulders. it is a flowy tunic blouse that has a high skit, so it's not possible to wear this as a dress (it is very sheer too). i do think this blouse is designed for the line to hit below the bust, so my incredibly flat chest works in this. if you have even"
Positive,"I normally am a xl or size 18 in fabric tops (if they're not knit and do not stretch.) but, this looked to be a bit boxy and so i bought the 16 and it fit fine. it fit like on the model....tailored, but loose and not really a lot of fabric or boxy.

now, the fabric is stiff. and, it's sheer. but, the pockets land where your breasts are. so, i wore this with a nude bra and it's just like in the photo. there are peeks but you don't see anything. however, if this is for work, i'd put a cami under"
Positive,"I love love love this top! so flattering and comfortable- looks great with jeans, leggings, or i totally plan to use it as a beach cover-up as well. they only had medium left (i usually get xs/s) but it was still as flattering and i usually like my clothes on the roomy side!"
Positive,"Yes it is boxy, but by design. because it is a shorter length and sheer it isn't an issue for me even as a petite. it has a bit of an ethereal look on as if it's just floating on your body. what doesn't show well in online pictures are beautiful chartreuse, charcoal & white threads running throughout the design. this adds to the classy look of this top.
great to dress up jeans or with a dressy pencil skirt for a night out."
Positive,"I bought this top in hopes of getting a lot of wears out of it as we transition from summer to fall. the color is a pretty rust color perfect for fall, but also great for late summer. i love the leaf print, and the dark buttons on the sides really take the top to the next level. i love wearing this top with my high-waisted flare jeans, i get tons of compliments when i wear this top! it is definitely sheer, which i like, so i wish that it came with its own detachable camisole (the reason i took a"
Positive,"If i could wear this top every single day, i would. this is the white flowy top i've been dreaming of; but better! the fabric is so lightweight and breathable. i can wear this on a cool spring night with a scarf, skinny jeans & ankle boots, or on a hot summer day with shorts/skinnies and sandals. you can dress it up or down. be aware that the chest hem is at a non-traditional height; not quite above or below the breasts. however, i think it looks flattering on both small-chested and busty women."
Negative,"I really wanted to like this shirt, but it made me look 9 months pregnant. which would be fine if i were pregnant.  it sits wired in the bust and flows out in the front and back. not flattering at all."
Positive,"I ordered this online in a sz 4, perfect fit and very comfortable. the side slits make it even more interesting since jeans or leggings will show!"
Negative,"I wanted to love this sweater but it is a return. it is a very weird fit, very thick, rug-like material and unfitted. the shoulders are bulky, the top is big and the booty is small. i am 5'2"", 34c and typically wear a small. the arms were very long, way too long. i will say other than that the top was true to size, may look okay on someone who had a larger chest and a smaller bum!"
Positive,"I ordered this shirt and was happy to see that it looks just like it does online -- i love the rusty orange and pale blue contrast with the navy. the navy blue underlayer is so flattering, and the sheer sleeves are feminine and lovely. the shape and pattern are forgiving. this brand is really hitting it out of the park these days. this blouse runs a bit smaller than some meadow rue. if you're between sizes (especially arm-wise), i'd order up. otherwise just get your regular size. the body is flo"
Positive,I love this shirt. the colors are just as depicted. the material is gorgeous and the top is very flattering. fits true to size for retailer small (i'm normally a medium outside of this store).
Positive,"I love this blouse, it's very unique and gorgeous. this blouse is versatile with short, jean and skirt. love it!!!"
Positive,"Loved this blouse when i received it after ordering online! the cut and style of the blouse is so cute and looks great with jeans. it is well made but it is see-through so i had to wear something under it. otherwise, really flattering, unique design!"
Positive,"The look is frest, crisp with a touch of romance. very retailer!"
Negative,"Uhm no. oh dear, no. i was initially drawn to this blouse's lovely fabric, the color and pattern are truly stunning. i decided to give it a try because it seemed somewhat boxy, oh boy was i right. sadly, this is one of the least flattering tops that i've ever tried on at retailer. it might be a great maternity top, though."
Negative,Poor quality. i expected much more from the material.
Positive,"This is so retailer - pretty in pink, unique design and print. i love origami and i love pink, and this blouse is a perfect combo. i ordered size petite s (i'm 34b, 26 waist, 36 hips) and it fits perfectly (the hem falls on the upper hips, just like shown on the model). the top has structure, not too soft and not too stiff. i think the sleeves are very unique and great for those gals who are conscious about their big arms, like me. this top has everything: flair, bright color, unique print, but al"
